Artist,Track,acousticness,danceability,duration_ms,energy,followers,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence
Hank Williams,You Win Again,0.781,0.531,158667,0.342,511362,1.35e-05,4,0.369,-11.931,1,38,0.0279,115.577,4,0.709
Kitty Wells,It Wasn't God Who Made Honky Tonk Angels,0.719,0.624,153867,0.191,62083,0.0,9,0.358,-11.072,1,50,0.0301,137.276,4,0.726
Jerry Lee Lewis,Whole Lotta Shakin' Going On,0.812,0.377,173159,0.615,446136,0.000322,0,0.154,-8.431,1,46,0.0309,161.532,4,0.553
Johnny Cash,I Walk The Line - Single Version,0.221,0.89,169138,0.289,1586,0.946,5,0.12,-18.553,1,0,0.105,104.173,4,0.931
Elvis Presley,Jailhouse Rock,0.41,0.647,146480,0.582,4088323,1.93e-06,10,0.0715,-9.538,0,73,0.0755,167.396,4,0.915
Sonny James,Young Love,0.752,0.455,152200,0.244,22887,9.52e-06,2,0.0959,-16.097,1,43,0.041,146.483,3,0.383
Webb Pierce,There Stands The Glass,0.923,0.522,146667,0.256,29998,0.0,3,0.359,-7.39,1,42,0.0309,114.96,4,0.64
Red Foley,Salty Dog Rag,0.785,0.819,104733,0.422,16928,4.43e-05,9,0.0468,-10.111,1,4,0.105,97.737,4,0.89
Elvis Presley,Don't Be Cruel,0.856,0.697,122893,0.55,4088323,3.44e-05,2,0.0907,-11.496,1,61,0.18,84.802,4,0.844
Hank Williams,Why Don't You Love Me - Single Version,0.523,0.777,143640,0.362,511362,0.0,7,0.0674,-10.101,1,37,0.0536,140.27,4,0.95
Ray Price,Crazy Arms,0.666,0.506,152509,0.42,72800,0.0,5,0.204,-9.785,1,41,0.0334,116.76,4,0.761
Eddy Arnold,Tennessee Stud - Remastered,0.71,0.807,185027,0.319,43450,0.0,5,0.126,-17.234,1,39,0.0443,94.789,4,0.689
Johnny Horton,The Battle Of New Orleans,0.764,0.703,151627,0.776,103830,0.0,9,0.0988,-10.983,1,55,0.139,177.283,4,0.921
Red Foley,Birmingham Bounce,0.0374,0.531,180253,0.526,645,0.735,7,0.0925,-11.111,1,0,0.0423,179.876,4,0.62
Jimmie Rodgers,Kisses Sweeter Than Wine,0.672,0.497,142333,0.318,1800,0.0,6,0.0783,-12.974,1,37,0.0597,162.104,4,0.696
Tennessee Ernie Ford,Sixteen Tons,0.796,0.693,158307,0.324,35499,0.0,11,0.246,-15.085,1,55,0.205,144.14,4,0.382
Jerry Lee Lewis,Great Balls of Fire,0.458,0.4,109707,0.818,446136,3.25e-06,0,0.132,-11.238,1,65,0.08,166.287,4,0.936
Hank Thompson,Wildwood Flower - Instrumental,0.597,0.648,177867,0.449,593,0.896,0,0.0537,-10.971,1,36,0.0416,117.197,4,0.974
Jim Reeves,Am I Losing You,0.91,0.528,139733,0.121,206209,0.00451,9,0.125,-21.213,1,46,0.0345,87.834,4,0.38
Elvis Presley,Heartbreak Hotel,0.84,0.696,127560,0.21,4088323,1.62e-06,4,0.107,-11.922,1,62,0.067,93.543,4,0.717
Bobby Helms,Fraulein,0.848,0.632,174400,0.294,13508,0.0,9,0.194,-8.102,1,17,0.0285,114.577,4,0.697
Hank Locklin,Send Me the Pillow You Dream On,0.84,0.595,147440,0.308,37441,4.08e-06,3,0.0942,-11.626,1,44,0.0333,119.755,4,0.624
Lefty Frizzell,Always Late (With Your Kisses),0.842,0.776,184040,0.198,56713,0.0,9,0.35,-11.406,1,31,0.0318,117.755,3,0.567
Marty Robbins,Singing the Blues,0.391,0.546,145640,0.469,228714,0.0,5,0.091,-8.967,1,48,0.0289,142.712,4,0.779
Elvis Presley,All Shook Up,0.881,0.624,117080,0.468,4088323,6.35e-06,10,0.144,-12.162,1,61,0.132,74.139,4,0.952
The Everly Brothers,Bye Bye Love,0.724,0.547,142907,0.523,405101,0.0,9,0.103,-9.176,1,61,0.0572,169.598,4,0.89
Leroy Van Dyke,The Auctioneer,0.452,0.702,167622,0.727,13868,2.39e-06,2,0.352,-9.209,1,51,0.0451,131.398,4,0.971
Hank Snow & His Rainbow Ranch Boys,I Don't Hurt Anymore - Remastered,0.812,0.548,175267,0.349,44805,0.0,11,0.13,-10.805,1,34,0.0295,94.379,4,0.702
