YEAR,ID1,ArtistName,SongTitle
,348,1910 fruitgum company,1 2 3 red light
,349,friend  lover,reach out of the darkness
,350,the rolling stones,jumpin jack flash
,351,richard harris,macarthur park
,352,jose feliciano,light my fire
,353,people,i love you
,354,percy sledge,take time to know her
,355,status quo,pictures of matchstick men
,356,blue cheer,summertime blues
,357,marvin gaye  tammi terrell,aint nothing like the real thing
,358,james brown,i got the feelin
,359,the bee gees,ive gotta get a message to you
,360,the beatles,lady madonna
,361,donovan,hurdy gurdy man
,362,steppenwolf,magic carpet ride
,363,the fireballs,bottle of wine
,364,the dells,stay in my corner
,365,willie mitchell,soul serenade
,366,tom jones,delilah
,367,the human beinz,nobody but me
,368,sam and dave,i thank you
,369,sergio mendes,the fool on the hill
,370,the animals,sky pilot
,371,the cowsills,indian lake
,372,tommy boyce  bobby hart,i wonder what shes doing tonight
,373,gary puckett  the union gap,over you
,374,the lettermen,goin out of my headcant take my eyes off you
,375,stevie wonder,shoobedoobedoodaday
,376,the irish rovers,the unicorn
,377,vanilla fudge,you keep me hangin on
,378,the beatles,revolution
,379,gary puckett  the union gap,woman woman
,380,the turtles,elenore
,381,cream,white room
,382,marvin gaye  tammi terrell,youre all i need to get by
,383,the foundations,baby now that ive found you
,384,sweet inspirations,sweet inspiration
,385,the miracles,if you can want
,386,the mills brothers,cab driver
,387,the chambers brothers,time has come today
,388,dionne warwick,do you know the way to san jose
,389,simon  garfunkel,scarborough faircanticle
,390,james brown,say it loud  im black and im proud
,391,manfred mann,the mighty quinn
,392,shorty long,here comes the judge
,393,aretha franklin,i say a little prayer
,394,aretha franklin,think
,395,gary lewis and the playboys,sealed with a kiss
,396,big brother and the holding company,piece of my heart
,397,creedence clearwater revival,suzie q
,398,the american breed,bend me shape me
,399,jerry butler,hey western union man
,400,jerry butler,never give you up
,401,the archies,sugar sugar
,402,the 5th dimension,aquariuslet the sunshine in
,403,the temptations,i cant get next to you
,404,the rolling stones,honky tonk women
,405,sly  the family stone,everyday people
,406,tommy roe,dizzy
,407,sly  the family stone,hot fun in the summertime
,408,tom jones,ill never fall in love again
,409,the foundations,build me up buttercup
,410,tommy james and the shondells,crimson and clover
,411,three dog night,one
,412,tommy james and the shondells,crystal blue persuasion
,413,the cowsills,hair
,414,marvin gaye,too busy thinking about my baby
,415,henry mancini,love theme from romeo and juliet
,416,the youngbloods,get together
,417,the friends of distinction,grazing in the grass
,418,elvis presley,suspicious minds
,419,creedence clearwater revival,proud mary
,420,jr walker  the all stars,what does it take to win your love
,421,the isley brothers,its your thing
,422,neil diamond,sweet caroline
,423,oliver,jean
,424,creedence clearwater revival,bad moon rising
,425,the beatles with billy preston,get back
,426,zager  evans,in the year 2525
,427,blood sweat  tears,spinning wheel
,428,andy kim,baby i love you
,429,the friends of distinction,going in circles
,430,the lettermen,hurt so bad
,431,creedence clearwater revival,green river
,432,stevie wonder,my cherie amour
,433,three dog night,easy to be hard
,434,smith,baby its you
,435,elvis presley,in the ghetto
,436,johnny cash,a boy named sue
,437,the miracles,baby baby dont cry
,438,jerry butler,only the strong survive
,439,the zombies,time of the season
,440,the 5th dimension,wedding bell blues
,441,bobby sherman,little woman
,442,mercy,love can make you happy
,443,oliver,good morning starshine
,444,the guess who,these eyes
,445,blood sweat  tears,youve made me so very happy
,446,jackie deshannon,put a little love in your heart
,447,the watts 103rd street rhythm band,do your thing
,448,the grass roots,id wait a million years
,449,the doors,touch me
,450,spiral starecase,more today than yesterday
,451,sammy davis jr,ive gotta be me
,452,bob dylan,lay lady lay
,453,donovan,atlantis
,454,classics iv,traces
,455,mama cass elliot,its getting better
,456,jay and the americans,this magic moment
,457,the temptations,runaway child running wild
,458,the ventures,hawaii fiveo
,459,glen campbell,galveston
,460,lou christie,im gonna make you mine
,461,ray stevens,gitarzan
,462,tyrone davis,can i change my mind
,463,booker t  the mgs,time is tight
,464,dionne warwick,this girls in love with you
,465,the winstons,color him father
,466,checkmates ltd,black pearl
,467,1910 fruitgum company,indian giver
,468,james brown,mother popcorn
,469,edwin starr,twentyfive miles
,470,new colony six,things id like to say
,471,motherlode,when i die
,472,marvin gaye,thats the way love is
,473,harry nilsson,everybodys talkin
,474,johnny maestro  the brooklyn bridge,the worst that could happen
,475,joe simon,the chokin kind
,476,the flying machine,smile a little smile for me
,477,tony joe white,polk salad annie
,478,kenny rogers  the first edition,ruby dont take your love to town
,479,joe south,games people play
,480,the turtles,you showed me
,481,the cuff links,tracy
,482,the dells,oh what a night
,483,the beatles,something
,484,gary puckett  the union gap,this girl is a woman now
,485,the beatles,come together
,486,bob seger system,ramblin gamblin man
,487,the supremes  the temptations,im gonna make you love me
,488,marvin gaye,i heard it through the grapevine
,489,crazy elephant,gimme gimme good lovin
,490,booker t  the mgs,hang em high
,491,lou rawls,your good thing is about to end
,492,the originals,baby im for real
,493,edwin hawkins singers,oh happy day
,494,tom jones,love me tonight
,495,paul revere  the raiders,mr sun mr moon
,496,the guess who,laughing
,497,david ruffin,my whole world ended the moment you left me
,498,the box tops,soul deep
,499,bj thomas,hooked on a feeling
,500,the box tops,sweet cream ladies
,501,simon  garfunkel,bridge over troubled water
,502,the carpenters,they long to be close to you
,503,the guess who,american woman
,504,bj thomas,raindrops keep fallin on my head
,505,edwin starr,war
,506,diana ross,aint no mountain high enough
,507,the jackson 5,ill be there
,508,rare earth,get ready
,509,the beatles,let it be
,510,freda payne,band of gold
,511,three dog night,mama told me not to come
,512,ray stevens,everything is beautiful
,513,bread,make it with you
,514,vanity fare,hitchin a ride
,515,the jackson 5,abc
,516,the jackson 5,the love you save
,517,neil diamond,cracklin rosie
,518,dawn,candida
,519,sly  the family stone,thank you falettinme be mice elf agin
,520,eric burdon  war,spill the wine
,521,five stairsteps,ooh child
,522,norman greenbaum,spirit in the sky
,523,melanie,lay down candles in the rain
,524,the temptations,ball of confusion thats what the world is today
,525,the moments,love on a twoway street
,526,the poppy family,which way you goin billy
,527,free,all right now
,528,the jackson 5,i want you back
,529,bobby sherman,julie do ya love me
,530,sugarloaf,greeneyed lady
,531,stevie wonder,signed sealed delivered im yours
,532,blues image,ride captain ride
,533,shocking blue,venus
,534,john lennon,instant karma
